,Manager,Player,Team,Total Wildcard,Total Division,Total Conference,Total Superbowl,Total Points
41,Ball Too Well (Allie’s Version),Baker Mayfield,TB,18.7,0.0,0.0,0.0,18.7
42,Blake Rogers,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
43,Born tua be wild ,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
44,Danny,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
45,Erin M | HearMeowt,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
46,Ethan R,Baker Mayfield,TB,18.7,0.0,0.0,0.0,18.7
47,F.O.G.| Joe Pino,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
48,Fantasy Fumble Funnies,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
49,Gage ,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
50,Griffin Stanley,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
51,Hawk Tua | Brock Michalek ,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
52,Karrtoons,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
53,Liebersquad,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
54,Matt’s last chance at fantasy,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
55,Maye Day,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
56,McSRQ,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
57,Miami Mike Goes Detroit,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
58,Michaels motivated sea'men,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
59,Murphys,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
60,Mythical Hail Marys,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
61,New Year |  Same Me | Wesley ,Baker Mayfield,TB,18.7,0.0,0.0,0.0,18.7
62,Nick Dakuginow,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
63,Pirates Life For Me ,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
64,Sarasota Supreme Team ,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
65,See deez TDs,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
66,Shaun McElroy,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
67,Shot in the Dark / JC,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
68,Show Me Your TDs!/Richard Silva,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
69,Silver Papa,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
70,Stat-O-Matic | Chris K,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
71,Tanja,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
72,Turd Ferguson,Sam Darnold,MIN,4.700000000000001,0.0,0.0,0.0,4.700000000000001
73,Tutt-Nation,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
74,2-10 Hahaha,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
75,A G-Thang,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
76,Abarrett35,C.J. Stroud,HOU,14.48,4.000000000000001,0.0,0.0,18.48
77,Alexander’s Raiders,Bo Nix,DEN,15.059999999999999,0.0,0.0,0.0,15.059999999999999
78,Ball Too Well (Allie’s Version),Bo Nix,DEN,15.059999999999999,0.0,0.0,0.0,15.059999999999999
79,Blake Rogers,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
80,Born tua be wild ,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
81,Danny,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
82,Erin M | HearMeowt,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
83,Ethan R,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
84,F.O.G.| Joe Pino,Russell Wilson,PIT,19.400000000000002,0.0,0.0,0.0,19.400000000000002
85,Fantasy Fumble Funnies,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
86,Gage ,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
87,Griffin Stanley,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
88,Hawk Tua | Brock Michalek ,Bo Nix,DEN,15.059999999999999,0.0,0.0,0.0,15.059999999999999
89,Karrtoons,Bo Nix,DEN,15.059999999999999,0.0,0.0,0.0,15.059999999999999
90,Liebersquad,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
91,Matt’s last chance at fantasy,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
92,Maye Day,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
93,McSRQ,C.J. Stroud,HOU,14.48,4.000000000000001,0.0,0.0,18.48
94,Miami Mike Goes Detroit,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
95,Michaels motivated sea'men,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
96,Murphys,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
97,Mythical Hail Marys,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
98,New Year |  Same Me | Wesley ,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
99,Nick Dakuginow,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
100,Pirates Life For Me ,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
101,Sarasota Supreme Team ,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
102,See deez TDs,Bo Nix,DEN,15.059999999999999,0.0,0.0,0.0,15.059999999999999
103,Shaun McElroy,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
104,Shot in the Dark / JC,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
105,Show Me Your TDs!/Richard Silva,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
106,Silver Papa,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
107,Stat-O-Matic | Chris K,Matthew Stafford,LAR,18.259999999999998,0.0,0.0,0.0,18.259999999999998
108,Tanja,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
109,Turd Ferguson,Jordan Love,GB,1.4800000000000004,0.0,0.0,0.0,1.4800000000000004
110,Tutt-Nation,Russell Wilson,PIT,19.400000000000002,0.0,0.0,0.0,19.400000000000002
111,2-10 Hahaha,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
112,A G-Thang,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
113,Abarrett35,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
114,Alexander’s Raiders,James Cook,BUF,20.0,0.0,0.0,0.0,20.0
115,Ball Too Well (Allie’s Version),Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
116,Blake Rogers,J.K. Dobbins,LAC,2.6,0.0,0.0,0.0,2.6
117,Born tua be wild ,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
118,Danny,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
119,Erin M | HearMeowt,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
120,Ethan R,James Cook,BUF,20.0,0.0,0.0,0.0,20.0
121,F.O.G.| Joe Pino,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
122,Fantasy Fumble Funnies,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
123,Gage ,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
124,Griffin Stanley,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
125,Hawk Tua | Brock Michalek ,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
126,Karrtoons,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
127,Liebersquad,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
128,Matt’s last chance at fantasy,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
129,Maye Day,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
130,McSRQ,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
131,Miami Mike Goes Detroit,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
132,Michaels motivated sea'men,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
133,Murphys,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
134,Mythical Hail Marys,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
135,New Year |  Same Me | Wesley ,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
136,Nick Dakuginow,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
137,Pirates Life For Me ,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
138,Sarasota Supreme Team ,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
139,See deez TDs,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
140,Shaun McElroy,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
141,Shot in the Dark / JC,James Cook,BUF,20.0,0.0,0.0,0.0,20.0
142,Show Me Your TDs!/Richard Silva,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
143,Silver Papa,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
144,Stat-O-Matic | Chris K,Saquon Barkley,PHI,16.3,0.0,0.0,0.0,16.3
145,Tanja,James Cook,BUF,20.0,0.0,0.0,0.0,20.0
146,Turd Ferguson,Derrick Henry,BAL,33.6,0.0,0.0,0.0,33.6
147,Tutt-Nation,Jahmyr Gibbs,DET,0.0,37.5,0.0,0.0,37.5
148,2-10 Hahaha,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
149,A G-Thang,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
150,Abarrett35,Joe Mixon,HOU,18.900000000000002,18.0,0.0,0.0,36.900000000000006
151,Alexander’s Raiders,Joe Mixon,HOU,18.900000000000002,18.0,0.0,0.0,36.900000000000006
152,Ball Too Well (Allie’s Version),Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
153,Blake Rogers,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
154,Born tua be wild ,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
155,Danny,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
156,Erin M | HearMeowt,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
157,Ethan R,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
158,F.O.G.| Joe Pino,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
159,Fantasy Fumble Funnies,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
160,Gage ,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
161,Griffin Stanley,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
162,Hawk Tua | Brock Michalek ,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
163,Karrtoons,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
164,Liebersquad,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
165,Matt’s last chance at fantasy,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
166,Maye Day,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
167,McSRQ,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
168,Miami Mike Goes Detroit,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
169,Michaels motivated sea'men,Kyren Williams,LAR,18.2,0.0,0.0,0.0,18.2
170,Murphys,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
171,Mythical Hail Marys,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
172,New Year |  Same Me | Wesley ,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
173,Nick Dakuginow,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
174,Pirates Life For Me ,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
175,Sarasota Supreme Team ,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
176,See deez TDs,Kyren Williams,LAR,18.2,0.0,0.0,0.0,18.2
177,Shaun McElroy,Kyren Williams,LAR,18.2,0.0,0.0,0.0,18.2
178,Shot in the Dark / JC,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
179,Show Me Your TDs!/Richard Silva,Isiah Pacheco,KC,0.0,1.8,0.0,0.0,1.8
180,Silver Papa,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
181,Stat-O-Matic | Chris K,Kyren Williams,LAR,18.2,0.0,0.0,0.0,18.2
182,Tanja,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
183,Turd Ferguson,Aaron Jones,MIN,9.0,0.0,0.0,0.0,9.0
184,Tutt-Nation,Josh Jacobs,GB,19.1,0.0,0.0,0.0,19.1
185,2-10 Hahaha,Rachaad White,TB,3.5000000000000004,0.0,0.0,0.0,3.5000000000000004
186,A G-Thang,Brian Robinson Jr.,WAS,7.800000000000001,19.7,0.0,0.0,27.5
187,Abarrett35,Najee Harris,PIT,8.8,0.0,0.0,0.0,8.8
188,Alexander’s Raiders,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
189,Ball Too Well (Allie’s Version),Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
190,Blake Rogers,Kareem Hunt,KC,0.0,11.6,0.0,0.0,11.6
191,Born tua be wild ,Brian Robinson Jr.,WAS,7.800000000000001,19.7,0.0,0.0,27.5
192,Danny,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
193,Erin M | HearMeowt,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
194,Ethan R,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
195,F.O.G.| Joe Pino,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
196,Fantasy Fumble Funnies,Rachaad White,TB,3.5000000000000004,0.0,0.0,0.0,3.5000000000000004
